listingPrice,zestimate,saleLikelihood,avgPriceChange,propertyTaxRate,propertyTaxRateEncoded,arm5BucketRate,favoriteCount,pageViewCount,daysOnMarket,hoaFee,yearBuilt,homeType,bedrooms,bathroomsFloat,parkingCapacity,avgSchoolRating,hasHeating,hasGarage,zipcode,zipcodeEncoded,latitude,longitude,zestimatePriceAvg
630000.0,616385.0,0.69,0.1772,0.87,3,8,211.0,5886.0,31.0,0.0,2020.0,4,4.0,3.0,1.0,4.0,1,1,10306.0,49,40.579998,-74.09846,623192.5
635000.0,619633.0,0.25,0.026,0.84,4,8,2.0,51.0,0.0,533.0,1952.0,1,2.0,1.0,0.0,7.0,0,0,11374.0,10,40.72219,-73.866554,627316.5
599000.0,588385.0,0.61,-0.0392,0.65,4,8,158.0,4835.0,146.0,0.0,1925.0,1,3.0,3.0,0.0,6.0,0,0,11234.0,9,40.612766,-73.93429,593692.5
550000.0,522346.0,0.9,0.0,0.84,3,8,77.0,1989.0,9.0,0.0,2006.0,4,5.0,3.0,0.0,4.0,1,0,11691.0,49,40.59396,-73.77486,536173.0
849000.0,830652.0,0.81,0.3261,0.87,4,8,47.0,1398.0,2.0,0.0,1935.0,1,4.0,2.0,2.0,4.0,0,0,10306.0,12,40.573753,-74.104,839826.0
450000.0,443238.0,0.99,0.0,0.65,4,8,80.0,1460.0,9.0,0.0,1987.0,4,3.0,2.0,0.0,3.0,0,0,11212.0,38,40.660213,-73.901215,446619.0
260000.0,357400.0,0.62,0.0,0.0,3,8,16.0,327.0,1.0,1099.0,1961.0,3,1.0,1.0,0.0,6.0,1,1,10471.0,46,40.906563,-73.90659,308700.0
800000.0,762409.0,0.73,0.9262,0.95,1,3,256.0,3662.0,22.0,0.0,1901.0,3,6.0,3.0,0.0,4.0,0,0,10455.0,96,40.817352,-73.90052,781204.5
245000.0,230069.0,0.7,0.0174,0.0,3,8,353.0,6727.0,53.0,0.0,1953.0,4,3.0,1.0,0.0,5.0,1,1,11229.0,55,40.5981,-73.9332,237534.5
799000.0,772045.0,0.93,0.0,0.84,3,8,310.0,6584.0,30.0,0.0,1920.0,4,6.0,3.0,0.0,4.0,1,0,11385.0,54,40.707188,-73.902115,785522.5
699000.0,684227.0,0.99,2.4512,0.87,0,3,92.0,1460.0,5.0,0.0,2003.0,2,4.0,4.0,1.0,4.0,0,0,10303.0,149,40.630432,-74.151726,691613.5
